idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
110,9.893587849999998,53.577770750000006,9.8933501,9.8938256,53.5776084,53.5779331,nan,nan,423.1329890340567,industrial,nan,190.40984506532553,38386.624765169625,1152.0,24.719993675000005
111,9.893118409854427,53.578138409013626,9.8928699,9.8933669,53.5779781,53.5782987,nan,nan,416.9129081964493,industrial,nan,187.6108086884022,37822.33903158188,1152.0,24.72032456811226
112,9.89270165,53.57849505000001,9.8925598,9.8928435,53.578406,53.5785841,nan,nan,200.03286353498697,industrial,nan,90.01478859074415,18146.98137989402,1152.0,24.72064554500001
113,9.892006146000758,53.57894292150262,9.8915662,9.8924461,53.5786268,53.579259,nan,nan,915.3662080168724,industrial,nan,411.91479360759257,83042.02239129067,1152.0,24.72104862935236
114,9.8922239,53.57904334999999,9.8917825,9.8926653,53.5787225,53.5793642,nan,nan,980.7907637506725,industrial,nan,441.35584368780263,88977.338087461,1152.0,24.72113901499999
115,9.873808209094374,53.5857735187551,9.8729899,9.8744622,53.5850596,53.5864832,nan,flat,12428.569834573194,retail,nan,11185.712851115875,2253082.211036015,1151.0,24.727196166879587
116,9.872950490867014,53.58442872393815,9.8726118,9.8732817,53.5842596,53.5845708,nan,gabled,1307.7530936124967,retail,nan,588.4888921256236,118536.37509640372,1151.0,24.725985851544337
117,9.87529202255155,53.584903934669214,9.8746156,9.8760416,53.5844578,53.5854295,nan,nan,5401.338768903166,industrial,nan,2430.602446006425,489584.0976868441,1151.0,24.72641354120229
118,9.872865422979402,53.58375013756133,9.8726196,9.8730853,53.5835109,53.5839613,nan,nan,1202.2357408907264,retail,nan,541.0060834008269,108972.15034901156,1151.0,24.7253751238052
119,9.87292355,53.5829646,9.8725942,9.8732529,53.5825692,53.58336,nan,nan,3062.352238573134,yes,nan,1378.0585073579102,277816.5950833547,1152.0,24.72466814
120,9.905823434545615,53.59125938248815,9.905059,9.9063421,53.5907378,53.5917134,nan,flat,6085.761683457298,office,nan,5477.185515111569,1104200.5998464923,1152.0,24.73213344423933
121,9.90559561965485,53.59035920345993,9.9051582,9.9059921,53.5900768,53.590621,nan,nan,2791.7783349920064,industrial,nan,1256.300250746403,253270.13055047483,1152.0,24.731323283113937
122,9.905832430280087,53.58961447589685,9.9052712,9.9063937,53.5893701,53.5898589,nan,nan,3650.842268992216,industrial,nan,1642.8790210464972,331204.41064297385,1152.0,24.730653028307167
123,9.90540464402049,53.58874683751557,9.9048234,9.9060531,53.588531,53.5890498,nan,nan,3468.322750551626,yes,nan,1560.7452377482318,314646.2399300435,1152.0,24.729872153764013
124,9.905338974574883,53.58826860185308,9.9046772,9.9059303,53.5880019,53.5884941,nan,nan,3722.790954429656,office,nan,1675.255929493345,337731.5953858584,1152.0,24.72944174166777
125,9.90546993702276,53.58767291898253,9.9049392,9.9060039,53.5874144,53.58793,nan,nan,3224.805749808438,office,nan,1451.1625874137972,292554.3776226215,1152.0,24.728905627084274
126,9.906456952551848,53.58721331243471,9.9059368,9.9069524,53.58684,53.5875325,nan,nan,3887.489708829671,office,nan,1749.370368973352,352673.0663850278,1152.0,24.72849198119124
127,9.906523235314404,53.58657630914383,9.9059114,9.9072219,53.5862818,53.5868665,nan,nan,3763.837156228721,industrial,nan,1693.7267203029246,341455.3068130696,1152.0,24.72791867822945
128,9.903169145655152,53.5880047728441,9.9025243,9.9036037,53.5877805,53.5883277,nan,hipped,2126.001566171646,office,nan,956.7007047772407,192870.86208309172,1152.0,24.72920429555969
129,9.898888353840274,53.59476045555561,9.898613,9.8991813,53.5944554,53.5951079,nan,nan,1963.4217725992205,yes,nan,883.5397976696493,177967.00374560908,1151.0,24.735284410000048
130,9.898942147639724,53.59403723453568,9.8987427,9.8992549,53.5937471,53.5943178,nan,flat,1041.780518585816,office,nan,937.6024667272344,188856.57686053318,1151.0,24.734633511082116
131,9.899345037181876,53.595635172831,9.8984616,9.9002285,53.5953586,53.5959117,nan,nan,4950.96003806591,industrial,nan,2227.93201712966,448761.20655034174,1151.0,24.736071655547903
132,10.064202499179313,53.617669260824826,10.0640076,10.0644183,53.6176005,53.6177321,nan,nan,304.640831570141,apartments,nan,137.08837420656346,27613.02577455704,1151.0,24.755902334742345
133,9.935845715528044,53.55274948582492,9.9357336,9.9359589,53.5524912,53.553004,nan,nan,809.0602205463074,hotel,nan,364.0770992458383,73461.65670032903,1153.0,24.697474537242428
134,9.93637152371851,53.5665251243311,9.9350889,9.9376845,53.5654372,53.5675883,nan,nan,17408.193701431155,industrial,nan,7833.68716564402,1579271.3325938343,1152.0,24.709872611897993
135,9.93832315115215,53.56678712099769,9.9376284,9.9390708,53.5663864,53.5671463,nan,nan,3067.712357006967,yes,nan,1380.4705606531352,278302.865027672,1152.0,24.710108408897923
136,9.992298744890888,53.54849622477872,9.9919919,9.9925952,53.5482679,53.5487107,nan,nan,992.7962209060788,yes,nan,446.7582994077355,90144.65586299582,1153.0,24.693646602300845
137,9.850135248230336,53.58790382436271,9.8475294,9.8513303,53.587137,53.5884217,nan,nan,13618.875805620148,retail,nan,6128.494112529067,1234431.9266161672,1151.0,24.729113441926444
138,9.848341215068602,53.587690807003405,9.8479312,9.8487646,53.5874849,53.5879185,nan,nan,1812.8284612395216,yes,nan,815.7728075577847,164317.03776232677,1151.0,24.728921726303064
139,10.056265483355714,53.60823553933872,10.0561627,10.0563677,53.6081089,53.6083629,nan,nan,353.7800913387909,roof,nan,159.20104110245592,32067.06970406218,1151.0,24.747411985404852
140,9.881238781005605,53.60683661283865,9.8783395,9.8843412,53.6053694,53.608431,nan,nan,32787.94408200984,service,nan,14754.574836904429,2971940.236523474,1151.0,24.746152951554784
141,9.991519183647082,53.5499465470312,9.99051,9.9925327,53.5493378,53.5505416,nan,nan,8606.417621495202,civic,nan,3872.887929672841,781451.9620097374,1153.0,24.694951892328078
142,9.991663846974609,53.55109452237888,9.9912207,9.992094,53.5508649,53.5513194,nan,nan,1367.7264376319945,yes,nan,615.4768969343976,124187.85087893806,1153.0,24.695985070140992
143,9.992051414034297,53.55411464905608,9.9917224,9.9923131,53.5539248,53.5542775,nan,flat,965.7247197167017,retail,nan,869.1522477450316,175373.19478875372,1153.0,24.698703184150474
144,9.77003597596667,53.60471597217968,9.7697339,9.7703736,53.6045294,53.6049112,nan,nan,685.0222188606858,yes,nan,308.2599984873086,62145.215695041414,1152.0,24.744244374961717
145,9.770227449999998,53.6041548,9.7701521,9.7703028,53.6040954,53.6042142,nan,nan,59.85303844511509,barn,nan,26.93386730030179,5429.867647740841,1152.0,24.743739320000003
146,9.791836200000002,53.591469300000014,9.7913228,9.7923496,53.5912972,53.5916414,nan,nan,2198.332257833332,yes,nan,989.2495160249994,199432.70243063985,1152.0,24.732322370000013
147,9.790927984472576,53.59107493677984,9.7906515,9.7912458,53.590797,53.5913224,nan,nan,1513.6967356363311,yes,nan,681.163531036349,137322.56785692796,1152.0,24.73196744310186
